,titles,companies,locations,category,emp_type,seniority,salaries,responsibilities,requirements
937,ADECCO PERSONNEL PTE LTD,Java Spark Developer,"SHAW CENTRE, 1 SCOTTS ROAD 228208","Contract, Full Time",Executive,Information Technology,"$5,000to$6,500","Roles & Responsibilities Lead technical study into a propose solution, while involving expertise from infrastructure big data expert, business analyst requirement Document proposed design and develop the solution Implicitly ensure all CI-CD artefacts are part of the solution Perform code review while fostering knowledge and coaching best practices to team members Interact and provide reporting to project managers Monitor technical risk and escalate appropriately to management ","Requirements At least 4 years in Software development At least 2 years in Java/J2EE development Hands on Data ingest and data processing technology like Spark streaming and Spark Hands on Messaging systems like Kafka, Flume or ActiveMQ, MQSeries or RabitMQ Hands on knowledge on Hadoop (preferably Hortonworks distribution) - HDFS, HBase, Hive, ORC/Parquet. Build tool - Maven/sbt/ant, UML, Restful web services, Jenkins/Team City, Source management – SVN/GIT, TDD using Junit, Jira/QC. Solution design using proven patterns, awareness of anti-patterns, performance tuning, especially in streaming Knowledge of tools like Phoenix, ElasticSearch, Sqoop, StreamSets are good to have. Basic understanding of finance and investment banking  Next Step Prepare your resume in word document (please include your current salary package with full breakdown such as base, incentives, annual wage supplement etc.) and expected package with your notice period (Including leaves to offset) and email it to TechnicalStaffing@adecco.com All shortlisted candidates will be contacted Wai Yun Wen EA License No: 91C2918 Personnel Registration Number: R1330726"
938,DAIMLER SOUTH EAST ASIA PTE. LTD.,Assistant Manager - IOT Developer,"WESTGATE TOWER, 1 GATEWAY DRIVE 608531",Full Time,Professional,Information Technology,"$6,000to$13,000","Roles & ResponsibilitiesThe position is primarily responsible to work closely with Daimler ITx Units and Technical Infrastructure teams (ITI/OS). The role will lead, design, develops and integrates applications and various technical framework to infrastructure in a regional scale, the main focus of this role is to turn business or end user wishes into IT solution through an IOT ecosystem. The goal is to simplify existing processes through automation, analytics, self-service and/or AI frameworks so the end users are empowered to handle/support their daily jobs more efficiently, ultimately enhancing value of IT Infrastructure services provided by the department (ITI/OS). The position drives customer requests in priority while fulfilling security and technological solutions. The position is accountable for end-to-end delivery of required services out of the role, not afraid to stretch beyond. The candidate should be experienced in dynamic programming languages to join our team. The candidate should have experience in understanding customer/internal requirements and successfully lead technical architecture discussions with Business (ITx) Partners and internal teams to deliver pro-active development, implementation and maintenance of services. Roles and Responsibilities · IOT (Bot Framework, Cortex and Data Visualization) Platform Technical Development & Support · Support, Build and Develop on existing core platform components (bot framework, Cortex, etc) · Improve existing framework based on user feedback. · Support activities to ramp up user base and associated performance / stabilisation activities. Provide SME input to markets evaluating Virtual Assistant options, and support extension of the Imelda platform to support wider market use cases if requested. · Implement Artificial Intelligence and Machine Learning to create solutions together with the Automation and Virtual Assistant (VA) teams. · Deliver an innovative, scalable and robust extension of in-house VA framework based on approved use cases while investing ideas and efforts in related research and drive towards materializing them. · Work on in-house VA framework which is open-source customized to Daimler guidelines, constantly updated and adapted to security standards and organizational processes. · Delivered virtual assistant must have excellent functionality and seamless integration with other systems and solutions and interesting to increase the interaction with end customers. · Expert use of Java, Python, AIML and JSON programming along with other scripting/programming languages, as needed for VA and other automation initiatives. · Handle and mange product version releases, git/source code, automated testing, deployment, etc. · Analyze and model structured data using advanced statistical methods and implement algorithms. · Perform text mining, generate and test working hypotheses, prepare and analyze historical data and identify patterns. · Be knowledgeable on enterprise IT infrastructure environments, eg Service Management concepts and tools, infrastructure architecture, network concepts etc. · Self-motivated individual and creative thinker who will take ownership of tasks and projects, able to work with the global team, and manage time and tasks effectively and independently. · Design and implement portions of a continuous integration and deployment pipeline. · Participate in team design, specification, and code reviews. · Identify opportunities for adopting new tools and techniques from the wider industry. · Constantly contribute in fulfilling and shaping product roadmap. · Support product ownership team and other related functions in bringing new concepts to reality. · Identify gaps with current lab know-how and develop plans to fill. · Willing to participate and deliver relevant ad-hoc support to scope outside virtual assistant","Requirements· Bachelor’s degree in Computer Science or related field; or equivalent professional experience · Ideal candidate is proficient in Java, JavaScript, Python, AIML, XML, APIs, JSON, ODBC, DBs. · 3-5+ years of professional development experience is desired. · Experience with Natural Language Processing and Machine Learning is desired. · Experience with delivering in Agile, Scrum or DevOps and CI/CD knowledge. · Experience in analysing large amounts of user generated content and process data in large-scale environments. · Experience with GIT or similar source control tools. · Strong computer science fundamentals and educational or research background. · Passion for learning and innovation. · Good presentation skill and good team work is mandatory"
939,UBS AG,IT Business Analyst,1 RAFFLES QUAY 048583,"Permanent, Full Time",Professional,Banking and Finance,"$5,800to$8,750","Roles & ResponsibilitiesAre you adept at implementing system changes? Do you know how to work effectively with numerous technical teams to improve core infrastructure? We’re looking for someone like that who can help us: – provide an end user workspace platform based on leading edge Virtual Desktop infrastructure (VDI) – support customers leveraging a diverse mixture of virtual desktop ""terminals"" including thin clients, desktops, laptops, etc. – monitor usage and performance, and troubleshoot server, software, and hardware issues – analyze outages and defective states, initiating and monitoring measures to remedy them – proactively respond and provide support to escalations from level 1 support teams – collaborate with partners across the VDI Workspace team on problem management, escalation and major incidents You’ll be working in the L2 Global Hosted Services operations team. We are responsible for infrastructure support, infrastructure changes, service improvements, and ongoing maintenance of the GHS platforms which include a diverse set of technologies which enable our customers to access their work VDI sessions from Any Device, Any Location, to use Any Business Application","RequirementsYou have: - minimum 5 years of experience supporting Windows desktop in a VDI environment -exposure to and understanding of Citrix XenDesktop 7.6x including Citrix Director, Citrix PVS & Citrix Storefront - experience of supporting and troubleshooting Citrix Receiver, leveraging Citrix Director to address any BYOD (Bring your own device) issues - experience with AppSense for profile management - clear understanding and exposure to VMware vSphere virtualization with enterprise storage (vCentre, VUM, SSO, ESXi) - experience with HP Server On-board Administrator and Integrated Lights-Out (iLO) You are: – analytical and logical (you can solve problems like nobody’s business) – an excellent communicator, with strong interpersonal skills – result-oriented and assertive (you don’t shy away from challenging situations) You may also apply directly via our career website using below link: https://jobs.ubs.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=25008&siteid=5012&AReq=167298BR To learn more about UBS and other opportunities, please visit www.ubs.com/careers"
940,TECH IN ASIA PTE. LTD.,Research Data Scientist,,Full Time,"Professional, Senior Executive","Engineering, Information Technology","$4,000to$6,000","Roles & ResponsibilitiesTribe is a decentralized protocol developed with a mission to help leaders build and sustain great communities around the world - communities that are economically sustainable, decentralized, and autonomous. We are a looking for a research data scientist to help us experiment and implement policies to keep the community economy healthy.  To experiment math formula to compute content quality scores and rewards  To research and apply data science methodologies on token economy To analyze data and work with our team to implement short/long term changes to increase/decrease economic factors to create a healthy economy To test and repeat To put executions into code and production whenever required  ",Requirements PhD in Mathematics or Economics At least 1 year working experience in the technology/internet sector Research and data driven. Understands experimental design Ability to think critically and in a computational way. Able to code is a huge plus Understand blockchain and its impact to the world 
941,Company Undisclosed,"Business Analytics Manager, E-commerce (Google Analytics)",,Full Time,Manager,Marketing / Public Relations ,,"Roles & Responsibilities Manages a team of business analysts executives that use business data and statistical methods to provide insight into business performance Implements analytical approaches and methodologies and assists in the interpretation of results Design, prepare and distribute timely and accurate reporting on Online & Telesales team Business Analyst prepare weekly report & analysis on sales drivers. Provided business with continuous visibility on sales momentum, proactively look out for opportunities & recommend actions that drive incremental sales or bridge gaps. Provide sales forecast to help business in operation planning with capacity/inventory recommendations during key launches. Provide performance and trends, analysis, performance, scorecards, etc. to assist  Online & Telesales team in strategic planning Utilize quantitative analysis techniques to evaluate promo/campaigns, recommend opportunities or process alternatives where appropriate. Compute and recommend sales targets for Telesales team based sales run rate & team potential. Support Project Manager in formulating business case value and tracking of project deliverables/value Collect and analyze external market data to provide benchmarks for comparison purposes ","Requirements Min. Bachelor Degree in Business or equivalent experience with some relevant experience in digital analytics and ecommerce portal Good knowledge of Office software, specifically Excel, Word, PowerPoint & Google Analytics Some experience of working with data and the ability to present your analysis findings in a clear and concise way Excellent analytical and numerical skills Ability to manage your own workload and projects as appropriate Good to have Knowledge of marketing science techniques and tools and some experience of visualising and presenting data to technical and non-technical audiences would be desirable Excellent PC skills with emphasis on MS Excel, Word and PowerPoint Excellent analytical and problem solving skills, combined with good business judgment and ability to communicate Sense of initiative and leadership The ability to manage multiple tasks/projects and deadlines simultaneously Detail oriented and with ability to see how the details fit into the overall Strong interpersonal and communication skills, including experience working with a diverse group of individuals and multiple levels of management The ability to work in a fast paced, pressure-filled and change-oriented environment A relentlessly enthusiastic and positive attitude          JJ Consulting Services   EA Licence No.: 12C6207       Applicants are invited to send in a MS Word resume to   jobs@jjconsulting.com.sg stating position applying for/present/expected salaries and earliest available date.    We thank all applicants in advance and regret that only short listed candidates will be notified.    "
942,INTELLECT DESIGN ARENA PTE. LTD.,Senior Business Analyst,"UBI TECHPARK, 10 UBI CRESCENT 408564",Permanent,"Senior Management, Manager",Information Technology,,"Roles & Responsibilities Develop and maintain functional specifications and document adjustments to base product adoption document and User Journeys. Eliciting requirements, analysis and preparation of Business requirements and specification document  for Enterprise Banking application Facilitate/participate in discussions between Bank team and Product BA’s to take decisions on delivery scope and requirements, during project initiation phase Business analysts must brainstorm, analyse the business objectives of the stakeholder and develops solutions to their business issues. Provide functional support during subsequent phases of the program with support from Product organization. Collaborate with the technical team and ensure that business requirements are translated into a technical solution.  ",Requirements  Should have 12+ years of  experience as a Business Analyst Role  in Trade Finance domain Should have broader knowledge in banking practices and emerging trends Deep understanding of the supply chain and trade domain and also the Intellect product knowledge Must possess relevant experience in similar roles across global banks and should have managed stakeholder expectations. Must possess expertise in digital technologies primarily in the Internet and Mobile Banking platforms  for Corporate Customers   
943,THOMSON REUTERS ASIA PTE. LTD.,Senior User Experience (UX) Designer - F&R,18 SCIENCE PARK DRIVE 118229,Full Time,Professional,Advertising / Media ,"$7,000to$10,000","Roles & ResponsibilitiesJob Description Thomson Reuters is the leading source of intelligent information for the world’s businesses and professionals. We combine industry expertise with innovative technology to deliver critical information to leading decision makers in the financial and risk powered by the world’s most trusted news organization. This role sits within our Financial & Risk (“F&R”) business.  On January 30, 2018, Thomson Reuters announced that it signed a definitive agreement to enter into a strategic partnership with private equity funds managed by Blackstone related to the company's F&R business. As part of the transaction, Thomson Reuters has agreed to sell a 55% majority stake in Financial & Risk and will retain a 45% interest in the business.  Thomson Reuters will maintain full ownership of its Legal, Tax & Accounting and the Reuters News businesses. The transaction is expected to close in the second half of the year and is subject to specified regulatory approvals and customary closing conditions. When the transaction closes, this role will be included in the new F&R entity.  Further information on this can be found at https://www.thomsonreuters.com/en/press-releases/2018/january/thomson-reuters-and-blackstone-announce-strategic-partnership-for-thomson-reuters-financial-and-risk-business.html Do you love collaborating with technical experts to solve complex problems for customers? Thomson Reuters Labs is seeking a Sr. User Experience Designer to join as a member of our Singapore team. Thomson Reuters Labs partners with internal teams, customers and third parties, such as start-ups and academics, creating rapid prototypes and data-driven innovations that land in the hands of real users in just a few short weeks. What do we do? We experiment. We play with big data sets to discover what new products, services, or analysis we can create for our customers. You might be familiar with Reuters News, but you might not know that Thomson Reuters is also one of the leading sources of information for the world’s top companies in finance and risk. The best part? We have data. Lots and lots of data. We are currently seeking a passionate Sr. User Experience Designer with an entrepreneurial spirit to join our team in Singapore. You’ll learn and be working alongside a diverse team of data scientits, full stack engineers in our sister-labs in New York, London, San Francisco etc. You can Pick the brains of PhD’s and Masters grads with experience in big data, statistics, machine learning, natural language processing, artificial intelligence, and data visualization.   We are looking for a Senior User Experience Designer to champion the rapid prototyping and high-fidelity design excellence from new ideas to commercial products and services.   Senior User Experience Designer   Our Senior User Experience Designer is a visionary product and service design leader.  This individual will be responsible for leading the design of user experience excellence of new concept products and services across variety of businesses, screens and platforms. This role requires a highly creative individual at pace with the latest experience design and technology trends as well as and a strong advocate of Design Thinking. The candidate will also be a natural innovator in smart and high quality designs, using real world metaphors, interactions, gestures, and gamification models around heavy data to create rich and delightful experiences. This is an opportunity to influence and develop new businesses across the company with smart and custom experiences that showcase innovation across any touch-point.   Key Responsibilities: Collaborate with developers, scientists, and external partners like startups and organizations on building new business ideas.   Create rapid and iterative prototyping for a variety of ideas and concepts.   Identify use cases, define personas, scenarios and tasks in support of business requirements, technology, and context of use.   Collect, translate and communicate customer insight to teams with user surveys, interviews, and qualitative data.   Lead the implementation of innovative, end-to-end user experiences. Support the Head of Labs with presentation layouts and rapid prototyping to pitch new ideas to leadership and external partners. Create and run ideation workshops in support of new idea/product explorations Inspire and provide creative direction to designers working within the business units to deliver products that are useful, easy-to-use, innovative, and efficiently built.   Evaluate the user experience design of existing design concepts as well as on-device prototypes, and communicate design enhancements.   Advocate for customer-centered, context-aware, responsive web design and platform-specific design as key to Thomson Reuters competitive advantage. Define and produce design guidelines, templates, visual asset and pattern libraries.   Demonstrate adaptability to changing priorities driven by the speed of our innovative, fast-paced, information services industry.","RequirementsJob Requirements: 3 years minimum of expertise in user experience design or user interface design. Design knowledge of HTML5 responsive design. Understanding of lean user experience design methodology, user behaviors, and design requirements. Knowledge of general design strategies and trends. Bonus expertise with front-end HTML development and data visualization. Expertise in rapid prototyping, wireframing, presentation and high-fidelity design tools such as Sketch, Axure, Invision, Marvelapp, Motion, ProtoIO, Lightroom, Omnigraffle, Balsamik, InDesign, Fireworks, Photoshop, or other. Bonus experience designing for mobile, wearables, virtual/augmented reality, auto, connected devices, or other new technology. Ability to work with development teams to execute best design solutions within technology constraints. Customer-centric, creative leadership. Strong verbal and written communication skills. Education: Degree in Human Factors Engineering, Visual Design, or Product Design (or equivalent skills) Please note that as an internal applicant, to apply for this role you are obliged to notify your current manager. You will however be able to have an initial discussion with the recruitment manager about the role in complete confidence. Apart from exceptional circumstances, employees are expected to remain in their current role for a minimum period of 12 to 18 months before actively seeking another internal position. If you have any questions please speak with the Recruiter for this position. Thomson Reuters is committed to building a diverse workforce representative of the communities we serve. We rely on diversity of culture and thought to deliver on our goals, and to do that, we seek talented, qualified employees regardless of race, gender, national origin, religion, sexual orientation, disability, age or any other protected classification. Accommodation will be provided in all parts of the recruitment and assessment process. Applicants need to make their needs known in advance. At Thomson Reuters, we believe what we do matters. We are passionate about our work, inspired by the impact it has on our business and our customers. As a team, we believe in winning as one – collaborating to reach shared goals, and developing through challenging and meaningful experiences.  With over 60,000 employees in more than 100 countries, we work flexibly across boundaries and realize innovations that help shape industries around the world.  Making this happen is a dynamic, evolving process, and we count on each employee to be a catalyst in driving our performance - and their own.  More information about Thomson Reuters can be found on: www.thomsonreuters.com."
944,THE SUPREME HR ADVISORY PTE. LTD.,Data Analyst - Gaming attachment 8 Months cambodia,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",Full Time,Professional,Information Technology,"$3,000to$6,000",Roles & Responsibilities• Conduct in-depth product data analysis for the game • Identify problems affecting the performance of the game in a clear manner with proper documentation • Regular checks on the functionality of the game,"Requirements•             Comfortable with being based in Cambodia for 8 months [accommodation, meals, and living allowances will be provided on top of salary   • 1 year of experience in game planning • Experience in managing operations for at least 2 games • Strong in logical thinking, communication and coordination • Sensitive to digital changes • Strong knowledge of Microsoft Excel • High level of initiative and development potential. • Dares to take on a project head on and strong team spirit • Able to work overseas for a few months [expenses are covered, and additional allowances will be provided]."
945,PM ASIA PROJECT SERVICES PTE. LTD.,Senior Building Services Engineer (Data Centre),"THE SYNERGY, 1 INTERNATIONAL BUSINESS PARK 609917","Permanent, Contract",Executive,Engineering,"$5,500to$8,000","Roles & ResponsibilitiesOverall Job Objectives:  Responsible for the design of HVAC systems and related utilities, including conceptual, front end and detailed design activities on a variety of data centre projects. Core Responsibilities:   Lead the Building Services design of large scale, high end industrial facilities  Experience in designing HVAC, Fire Protection Sprinkler and Black Utilities Carry out site visits / site surveys Interact and communicate with own department, other departments, project team members, clients and other external parties to ensure co-ordination of activities Prepare technical documents in accordance with agreed schedules   ","Requirements Minimum Degree in Engineering or Science related discipline Minimum 6 years of building services design experience Good knowledge of designing HVAC, Sprinkler and Black Utilities Experience of working with a design house or engineering company Proficient in the use of relevant engineering software such as AutoCAD and Revit Strong work ethic and act with integrity Good organizational skills "
946,SCOOT TIGERAIR PTE. LTD.,"Assistant Manager , IT (Data Warehouse Architect)","AIRLINE HOUSE, 25 AIRLINE ROAD 819829",Permanent,Manager,Information Technology,"$4,000to$6,000","Roles & ResponsibilitiesMain Responsibilities  Plan, design and build data warehouse architecture and structures for the company’s enterprise data warehouse to meeting business data needs Collect and Analyze key information, identify core business processes and construct conceptual data model Locate data source and plan data transformations. Extracted large volumes of structured and unstructured data feed from different data sources, performed transformations and loaded the data into data warehouse using Dell Boomi integration tool Performed data analysis and data validation from various data sources. Ensuring data integrity and accuracy Work closely with other IT team and business users to clarify business requirements and translate the requirements into technical specifications Experience in Master Data Management (MDM) implementation and deployment Develop and maintain expertise in advance and/or emerging data warehouse and analytical information technologies such as Hadoop, in-memory analytics, data warehouse appliances, and data warehouse virtualization Prepare designs for database systems and recommend improvements for performance Maintain and develop various database scripts and tools to facilitate automation process   ","RequirementsRequirements Essential Skills  Candidates must have at least a Bachelor degree in Computer Science or equivalent. A minimum of 2-3 years as Data Warehouse Architect/Administrator. A minimum of 5-7 years of Data Warehouse/Big Data experience in design, development, implementation and support of company’s data warehouse Strong understanding of data modeling in data warehouse environment such as start schema and snow flake schema Knowledge of dimensional modeling and ETL process development using Dell Boomi integration preferred Proficient in data extraction scripting languages (eg. Javascript, Groovy, MSSQL, RStudio) Knowledge/Experience in data warehouse storage platform (eg Hadoop, Amazon S3) Knowledge/Experience in QlikSense data analytic tool is preferred Knowledge/ Experience with end users reporting tool   Knowledge/Experience with airline industry technology preferred Candidates should possess strong analytical, problem solving, communication, and interpersonal skills Good development and analytics skill set. Able to conceptualize and formulate a feasible solution based on loosely-defined and abstract user requirements. Able to work well with all levels of users and peers. Able to be independent. Able to plan and manage timeline Candidate must be a strong team player, proactive, resourceful and self-motivated Candidate who are able to multitask and work under pressure Candidates with a proven track record for high quality standard "
947,NANYANG TECHNOLOGICAL UNIVERSITY,Research Fellow,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time","Professional, Executive",Sciences / Laboratory / R&D,"$4,000to$4,500","Roles & ResponsibilitiesData Scientist / Programmer for Regional ATM Modernisation Programme Under the Air Traffic Management Research Institute (ATMRI) (http://atmri.ntu.edu.sg/), Nanyang Technological University, you will be part of ‘Regional ATM Modernisation Programme’ team to perform programming and data analytics for the ASEAN air routes and ATM operations in the region.   Primary Duties or Responsibilities Specifically, you will  Undertake research and development related to Air-space management & Data Analytics. Development and verification of Concept of Operations. Perform programming for fast time and real-time simulation tools, doing analytics, and building high quality strategic planning system for future for Air Traffic Management (ATM) eco-system for the region. You will provide expertise on mathematical concepts for the broader applied analytics of flow management and inspire the adoption of advanced analytics and data science across the entire breadth of regional ATM system. Conduct stakeholder meetings to solicit input for development of systems. Interact with senior personnel such as project lead and ATC operations specialist on significant technical matters and coordinate with other specialist teams within programme.  Represent the Institute at regional/global ATM platforms, international forum/conferences. Occasional overseas travel may be required.  ","Requirements Doctorate degree in a relevant field. At least 3 years’ experience in any aviation-related fast-time simulation environment. Knowledge of tools like SAAM and AirTop will be an added advantage.  Strong programming skills such as Java, C++ and Python Experience in Data Science (knowledge in Aviation / Air Traffic Management)  Good English writing and communication skills  Independent and team player  "
948,AGRITRADE RESOURCES ASIA PTE. LTD.,IT Data Analyst,"UOB PLAZA, 80 RAFFLES PLACE 048624",Permanent,Professional,Information Technology,"$3,000to$4,200","Roles & ResponsibilitiesThe Role The purpose of this position is to assist in design, implement, maintain and support our growing IT infrastructure as well as any IT transformation projects. Some of the work scopes include  Configure and install various network and voice devices and services (e.g., routers, switches, firewalls, load balancers, VPN, QoS) Monitor performance and ensure system availability, reliability and constantly find flaws or room for improvement in the current network system Monitor system resource utilization, trending, and capacity planning Select and implement security tools, policies, and procedures in conjunction with the company’s security team Provide Level 1 and 2 desktop application support including office applications Liaise with vendors and other IT personnel for problem resolution Provide IT Support to users and troubleshooting to resolve issues Interpret data, analyze results using statistical techniques, and provide ongoing reports Develop and implement databases, data collection, systems, data analytics, and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Work with management to prioritize business and information needs Locate and execute new process improvement opportunities. ","RequirementsIdeal Profile  Diploma in Computer Science or Information Technology or related qualification Minimum 3 years of relevant experience CCNP and PMI certification would be added advantage Hands-on experience with monitoring, network diagnostic and business intelligence tools Strong analytical and problem-solving skills Meticulous, detailed oriented with passion for technology Self-starter with strong communication skills "
949,,,,,,,,,
950,FTI CONSULTING (SINGAPORE) PTE. LTD.,Consultant,"AXA TOWER, 8 SHENTON WAY 068811",Full Time,Fresh/entry level,Consulting ,"$3,500to$4,200","Roles & ResponsibilitiesPosition Summary Our Global Risk and Investigations practice conducts sophisticated research and investigations, uncovers actionable intelligence and performs value-added analysis to help decision-makers address and mitigate risk, protect assets, remediate compliance, make informed decisions regarding their investments and maximise opportunities. Our experts conduct independent investigations to help clients resolve a variety of issues, including:  Due diligence for mergers and acquisitions, joint ventures and cross-border transactions Transactional intelligence Market entry and competitors intelligence Corporate investigations, fraud embezzlement and kickback investigations Anti-bribery and foreign corruption (FCPA / UK Bribery Act) investigations and risk assessments Asset searching Political risk assessments    Key Responsibilities Reporting to the Senior Managing Director based in Singapore, the Consultant will support various client engagements in the South-East Asia region with a focus on the Vietnam market. Your responsibilities will include:  Research and analysis of information from public-domain sources and field inquiries to support due diligence assignments, business intelligence projects and other types of investigations. Evaluation of information and information sources for accuracy, reliability and relevance in assessing risk. Provision of advice on how to mitigate risk. Review and analysis of Vietnamese language information and, creation of research reports in English, presentations and where needed link charts or similar diagrams to record investigative actions and findings. Proactive identification of new sources of information, and research tools and approaches as well as managing of these resources to achieve high quality and cost effectiveness. ","Requirements Minimum Bachelor’s degree or higher. Excellent English and Vietnamese language writing skills required. A keen interest in research, business intelligence and due diligence work with strong analytical skills. Broad professional experience, including prior international work experience/travel or experience working as part of a global dispersed team an advantage. Demonstrated self-starter and resourceful individual, with experience of operating in fast paced and dynamic operational settings. Fresh graduates or candidates with 1-2 years working experience are welcome.  "
951,STANDARD CHARTERED BANK,Client Lifecycle Design and Management Business Analyst,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Professional,Banking and Finance,"$6,250to$12,500","Roles & ResponsibilitiesJOB PURPOSE •         This role works within the Client Lifecycle Design and Management (CLDM) Delivery team to support delivery of a quality service to our clients and achieve regulatory compliance across the end-to-end client lifecycle, including coverage of AML, KYC, Tax, OTC reform and FM regulations •         Provide Business Analysis and Design expertise to deliver Client Lifecycle Management (CLM) and Client Due Diligence (CDD) change initiatives •         Identify and detail related business requirements •         Documentation of relevant analysis artifacts as required by project governance •         Support functional design, testing and deployment of change initiatives KEY RESPONSIBILITIES   •         Develop a detailed understanding of all areas of the Group CDD and Regulatory Policy and Procedures •         Lead requirements gathering and produce analysis artifacts to drive change initiatives: TOM, process maps and Business Requirements Documents (BRDs) •         Review the functional specifications (FSDs) or process improvement suggestions developed, to ensure they capture the business requirements accurately •         Identify enhancements to improve business processes/efficiency and/or reduce risk in line with Group Policy and Procedure, while understanding and translating the Group L&C and FCC driven requirements into Front line user requirements •         Assist with the roll-out of improved processes and practices, including User Acceptance Testing (UAT), User Verification Test (UVT, as part of Project go live, and BAU Change deployment •         Manage and engage key stakeholders across client facing divisions, Legal and Compliance and Financial Crime Risk, etc •         Lead relevant Working Groups •         Occasional need to work on weekends to support testing and go live activities                  KEY RELATIONSHIPS (INTERNAL & EXTERNAL)     •         Effectively manages relevant business stakeholders across the end-to-end Client Lifecycle, including Relationship Managers, Product teams, COBAM and CET •         Senior Business Analyst •         Business Analysis Practice Lead •         Project Managers •         CLDM Policy Implementation CONTRIBUTES TO     •         Successful delivery of Client Lifecycle Design & Management initiatives  ","RequirementsJUDGEMENT / COMPLEXITY     •         Experience as a Business Analyst on a relevant project •         Weighs up benefits of short term tactical and long term strategic options to ensure solutions are delivered to the appropriate scale, scope and timing •         Knowledge of the regulatory environment and the ongoing developments •         Process, commercial and operational awareness needed to develop appropriate solutions. ATTRIBUTES •         Ability to take initiative, identify opportunities and work with minimal management oversight •         Interpersonal skills in networking, influencing and decision taking •         Subject matter expertise in CDD and CLM system and process •         Strong communication skills – oral, written and presentation •         Knowledge of CIB, CB and BB business segments, client types and product offerings How to Apply Please visit - https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1800024717&lang=en  to apply now and take the next step in fulfilling your potential. You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com. To help speed up your application, please note the following:  You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information) We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application  It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience. Diversity & Inclusion Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential.  "
952,Company Undisclosed,Data Analyst,,"Permanent, Full Time","Manager, Professional",Advertising / Media ,"$5,000to$7,000","Roles & ResponsibilitiesA MullenLowe Group Data Analyst is responsible for the management of the application of traditional marketing analytics techniques (e.g. marketing mix modeling) to digital marketing data through 3rd party providers. They are also responsible for the management of attribution modeling projects through 3rd party providers, as well as handson development of new analytics products for our clients.  The role requires the day-to-day relationships between MullenLowe Profero and its analytics clients ensuring that all client activity is delivered on time, to budget, and to the highest possible standard of service.  The Data Analyst will also develop short and long-term analytics strategies for our clients. You are expected to bring your own ideas and impact in growing our client relationships and improving our working practices in order to allow MullenLowe Group to deliver the best solutions to our clients’ businesses and marketing challenges.","RequirementsSkills & Requirements The ideal candidate must have:  Good ‘hands-on’ experience of performing marketing mix modeling projects for a variety of clients and industry verticals Ability to manage the delivery of analytics projects (using 3rd party analytics providers where relevant) across the full life-cycle, from inception to completion Passion for the application of traditional marketing analytics approaches to digital marketing data Knowledge of algorithmic attribution modeling, and the ability to manage client projects in this area (via 3rd party providers) Strong data management skills, comfort with relational databases, and data management applications /languages such as SQL and Access Good experience with analytical tools such as R, SPSS and SAS The ability to sell analytical and commercial ideas and concepts to non-technical audiences To interpret client business issues and understand which analytical techniques should be applied Capacity to innovate and think creatively with data Comfortable explaining analytical outputs to non-specialist audiences Be at the forefront of analytics knowledge, by keeping up to date with industry news and developments Contribute in developing new products and ways of working that improve MullenLowe Profero’s analytics offering Several years’ experience performing marketing data analysis in a commercial environment Maintain a detailed understanding of the client business and digital marketing objectives Help direct the client to understand the value of analytics and grow the role of analytics in their marketing programs and customer relationships Understand all areas of MullenLowe Profero’s expertise and ensure your clients are knowledgeable of our full range of products and services Continuously manage, monitor, and evolve service delivery and profitability, to enable us to fulfil our contracted promises to clients and ensure that we consistently deliver high quality service Be a trusted, knowledgeable source of information and developments in marketing analytics Help in preparation for and attend sales pitches as required  Leadership & Development:  Work with an entrepreneurial spirit to identify revenue opportunities and generate ideas for your clients, within and outside of briefs Inspire clients by demonstrating the capabilities of marketing analytics Be a catalyst for idea sharing and cross-department collaboration to advance the way we work and the work we deliver for our clients Work with an attitude of ‘it’s up to me to make it happen’  Professional Expectations:  Be on time for, and professional in, everything you do, be that meeting a client; delivering to timescales; actively participating, using the right tone; or protecting the client’s information/IP or MullenLowe Profero’s. Be an excellent communicator and presenter in all forms (in-person, email, over the phone) Complete Time-sheets and status documentation in a timely manner Proactively contribute to a positive team atmosphere and company culture, and generally be a role model for the junior members of the team "
